sex	age	study	tv	income	clothes	hair	alcohol	sendtxt	receivetxt
male	19	2	0	160	100	10	15	40	40
male	45	10	16	80	85	25	15	2	2
female	19	2	1	200	20	35	10	40	50
female	21	40	10	163	5	20	5	4	3
female	19	4	21	160	50	40	50	10	10
female	19	25	20	60	40	30	10	30	30
male	19	30	28	150	100	10	60	127	127
male	20	10	1	200	100	40	20	5	5
male	18	45	8	50	100	20	10	1	1
female	19	10	6	120	50	40	5	40	40
female	19	15	12	160	50	30	40	80	100
male	20	8	5	400	200	25	10	20	20
female	20	8	1	240	150	35	20	60	60
male	26	50	2	600	500	25	20	20	20
male	19	4	9	160	10	20	5	8	8
female	23	6	12	186	40	30	30	30	30
female	20	10	5	130	250	250	50	10	10
male	19	21	14	260	40	20	20	30	30
female	21	4	10	130	20	20	20	10	10
female	23	2	0	350	300	86	10	50	50
male	25	30	0	250	100	20	30	30	30
male	20	14	7	250	100	30	20	20	20
male	20	12	3	230	100	42	25	50	50
male	20	10	20	300	150	15	5	40	40
female	19	5	5	125	50	20	10	5	4
male	20	15	20	335	50	20	40	20	15
male	21	30	2	150	10	40	40	20	20
female	21	15	15	370	200	100	50	20	30
female	19	35	5	190	100	25	20	50	50
female	20	10	6	250	300	40	20	30	35
male	25	5	1	150	20	15	10	40	40
male	21	30	5	180	10	40	20	2	2
male	21	12	20	200	200	30	100	80	80
male	19	20	3	150	200	80	20	50	49
female	23	20	10	240	20	65	20	20	20
female	21	7	1	260	100	30	3	20	20
male	26	1	1	150	100	25	100	20	20
male	20	16	7	163	40	30	30	20	20
female	20	4	8	80	50	140	30	20	20
male	19	2	10	170	20	20	40	80	80
female	22	10	10	300	100	100	20	10	10
male	19	3	10	198	350	20	20	100	78
male	19	15	2	130	10	25	20	20	23
female	20	1	5	230	50	70	5	50	50
female	20	10	10	126	60	30	50	127	127
female	20	2	10	130	200	50	5	50	50
female	19	2	13	300	450	20	100	30	35
male	21	4	6	225	30	25	5	30	30
male	19	5	0	200	20	15	30	10	10
female	20	15	8	350	100	50	50	20	18
male	20	15	0	144	50	38	20	100	127
female	20	6	2	300	100	50	30	30	30
female	20	10	10	140	50	40	25	40	50
female	20	7	3	250	20	20	10	25	25
male	21	5	8	150	200	20	40	25	25
male	20	10	5	200	50	25	60	20	20
male	25	6	6	600	100	45	60	20	20
male	21	4	10	150	50	15	20	50	50
female	19	40	10	200	40	30	40	3	3
female	20	20	6	100	100	50	20	30	30
male	18	10	20	200	10	20	20	5	5
male	23	20	3	160	100	25	15	10	10
female	22	7	21	450	20	60	40	100	80
male	28	20	5	240	10	20	2	5	5
female	19	4	4	260	300	50	30	15	15
male	20	25	20	70	15	20	20	4	5
male	19	1	0	129	100	25	30	40	14
male	22	20	0	200	80	30	40	70	70
male	25	10	2	400	200	30	80	4	4
female	23	10	5	250	300	50	30	30	30
female	20	14	7	160.42	100	50	20	50	50
female	22	6	4	200	300	40	20	20	25
female	25	30	5	150	100	80	10	15	15
female	20	15	9	180	100	40	20	20	20
male	21	10	5	300	150	20	20	50	50
female	19	10	5	300	150	40	20	40	40
male	21	12	3	100	50	30	25	50	50
male	19	6	4	45	40	26	5	5	6
female	21	7	2	210	100	30	5	20	25
female	42	12	3	300	100	200	5	2	2
male	21	25	5	200	10	25	10	50	50
male	19	3	14	200	20	15	30	20	20
female	21	15	10	300	100	40	10	30	30
male	23	20	2	310	50	50	10	20	20
female	27	30	3	450	100	20	20	20	20
female	21	18	3	140	25	20	15	15	12
female	48	40	10	800	30	45	15	2	2
female	24	12	4	160	20	25	5	4	4
female	18	30	3	344.8	150	25	20	25	20
male	23	10	1	200	150	15	25	20	15
female	18	5	4	200	50	150	20	20	20
male	22	30	6	100	20	20	10	20	20
male	24	15	20	300	250	19	50	100	127
female	19	25	15	125	100	120	10	5	5
female	19	15	14	400	200	22	80	127	127
female	23	5	2	750	200	80	50	20	20
female	20	10	15	350	100	100	50	10	10
female	21	5	2	150	200	40	20	20	20
male	20	12	1	290	50	15	10	25	25
female	22	8	2	300	80	25	20	7	7
male	20	7	18	250	50	18	40	15	9
