len wgt
35.2 0.88
35.5 0.92
34.7 0.73
64.7 5.37
29.5 0.61
54.9 3.65
62.2 5.27
45.4 1.91
40.7 1.33
48 1.78
41.7 1.45
46.3 1.92
54.2 2.56
51.8 2.92
38.8 1.28
31.5 0.63
42 1.45
61.1 5.16
62.3 4.55
65.6 5.71
39.2 1.19
46.9 2.05
59.5 4.51
44.8 1.96
26.1 0.37
37.4 1.01
46.4 2.16
62.6 4.14
39.6 1.11
42.4 1.48
29.4 0.59
34.6 0.86
34.3 0.95
61.9 4.12
39.2 1.25
45.2 1.9
42.5 1.55
32.5 0.75
36.2 1.18
32 0.73
40.3 1.41
56 3.39
36.5 1.02
34.8 0.99
44.6 2.22
47.3 1.88
64.1 4.33
36.6 1.16
41.3 1.53
44.8 2.06
57.5 3.65
52.3 2.65
50.8 2.54
60.4 3.99
47.1 1.79
42.6 1.94
37.3 1.15
48.7 2.24
34.5 0.94
45.8 1.92
27.7 0.49
44 1.61
33.6 0.88
40.2 1.55
43.3 1.54
51.8 2.91
63.2 5.34
40.3 1.29
52.3 2.56
37 1.15
34.1 0.94
54.4 2.92
35.6 0.91
54.7 2.8
28.5 0.55
53.4 3.46
55.4 3.04
49.6 2.52
28.2 0.54
46.3 1.84
39.8 1.37
49.4 2.58
49.8 2.08
42 1.55
69.3 5.25
29.4 0.52
68.5 4.87
46 1.78
61.4 4.49
47.5 1.89
37.6 1.19
84.2 8.71
43.3 1.35
63.6 5.08
41.2 1.5
39.9 1.41
42.3 1.72
40.6 1.29
37.5 1.32
56.3 3.14
46.3 1.91
54.2 2.99
44.4 1.65
49.9 2.08
61.4 3.71
38.6 1.24
62 4.77
56.3 3.02
26.9 0.46
48.1 2.24
31.4 0.66
50.3 2.34
35.9 0.94
25.8 0.35
43.5 1.51
43.7 1.64
49.9 2.93
61.4 5.15
67.1 4.79
44.6 1.67
47.2 2.39
40.6 1.49
32.7 0.73
54.9 3.38
32.2 0.74
45 1.72
36.4 0.96
37.6 1.33
45.8 2.32
39.2 1.24
71.2 6
48.3 2.18
42.6 1.44
46.1 2.06
47.1 1.96
55.9 3.56
53.5 2.91
37.4 0.98
60.3 4.51
38.3 1.16
58.8 3.65
50.8 2.73
41.3 1.42
51 2.66
44.3 2.03
62.2 4.09
39.4 1.35
37.3 1.1
44.3 1.44
36.8 1.19
41.4 1.55
29.4 0.47
69.2 6.23
52.2 2.77
38.9 1.26
34.6 0.91
60 4.42
60.3 4.36
33.6 0.9
42.3 1.5
47.5 2.32
49.9 2.28
54.8 3.25
62.3 4.15
44.8 1.81
49.2 2.39
39.3 1.06
71.2 6.64
61.2 5.28
44.8 1.89
52 2.91
58.7 4.03
38.1 1.09
25.9 0.37
52.7 3.02
39.7 1.04
72.9 6.72
45 1.89
44.3 1.65
37 1.07
69.8 6.63
60.8 3.72
36.2 1.04
26.6 0.37
33.3 0.95
44 1.52
