Reserve Date Station Area Status Depth MaxSna LegSna SnaKg MaxCod SnaEggs
CROP 3Nov98 LT98-44 4 R 19 9 8 11.18863498 0 371874.1528
CROP 3Nov98 LT98-45 3 R 16 6 3 2.320715191 0 51703.18932
CROP 3Nov98 LT98-46 2 nR 16 0 0 0 0 0
CROP 3Nov98 LT98-47 1 nR 6 0 0 0 0 0
CROP 3Nov98 LT98-48 2 nR 9 2 0 0.371418386 0 0
CROP 3Nov98 LT98-49 3 R 16 6 3 2.487789657 0 68544.82781
CROP 3Nov98 LT98-50 9 nR 23 0 0 0 0 0
CROP 3Nov98 LT98-51 5 R 17 6 2 3.326018303 4 93335.76833
CROP 3Nov98 LT98-52 4 R 6 0 0 0 0 0
CROP 3Nov98 LT98-53 3 R 15 1 0 0.32380319 0 8068.027873
CROP 3Nov98 LT98-54 6 R 20 10 9 8.140923487 0 261842.1228
CROP 3Nov98 LT98-55 7 R 22 10 10 15.04819742 0 517065.8946
CROP 3Nov98 LT98-56 8 R 17 8 3 3.468817967 3 86435.22674
CROP 3Nov98 LT98-66 10 nR 9 13 1 3.177411684 4 44681.27035
CROP 3Nov98 LT98-67 8 R 6 1 0 0.267271897 1 0
CROP 3Nov98 LT98-68 9 nR 7 8 0 1.474320459 0 9210.603906
CROP 3Nov98 LT98-69 10 nR 13 12 0 3.397704196 0 49764.71689
CROP 3Nov98 LT98-70 10 nR 5 6 0 1.237900714 3 8630.954657
CROP 3Nov98 LT98-71 11 nR 21 11 3 4.182744568 1 91804.17019
Hahei 3Nov98 HA98-1 NMerc nR 17 4 0 1.00842223 3 16318.62973
Hahei 3Nov98 HA98-2 NMerc nR 16 0 0 0 0 0
Hahei 3Nov98 HA98-3 NRWest nR 11 0 0 0 0 0
Hahei 3Nov98 HA98-4 ResWest R 14 0 0 0 0 0
Hahei 3Nov98 HA98-5 ResInner R 13 1 0 0.294667752 2 0
Hahei 3Nov98 HA98-6 ResInner R 10 4 0 0.81961609 0 6991.473453
Hahei 3Nov98 HA98-7 ResOuter R 16 7 3 5.180675158 4 164150.4471
Hahei 3Nov98 HA98-8 NRWest nR 15 0 0 0 0 0
Hahei 3Nov98 HA98-9 ResWest R 20 0 0 0 0 0
Hahei 3Nov98 HA98-10 ResWest R 22 4 3 3.110794327 2 99357.85037
Hahei 3Nov98 HA98-11 Outer nR 24 0 0 0 0 0
Hahei 3Nov98 HA98-12 Outer nR 28 0 0 0 0 0
Hahei 3Nov98 HA98-13 ResOuter R 23 1 0 0.435600132 4 12198.92488
Hahei 3Nov98 HA98-14 ResOuter R 24 1 0 0.032657791 0 0
Hahei 3Nov98 HA98-15 ResOuter R 16 0 0 0 0 0
Hahei 3Nov98 HA98-16 ResInner R 14 0 0 0 0 0
Hahei 3Nov98 HA98-17 ResInner R 13 3 3 1.959165463 0 60701.66387
Hahei 3Nov98 HA98-18 ResWest R 13 0 0 0 0 0
Hahei 3Nov98 HA98-19 NRWest nR 14 0 0 0 0 0
Hahei 3Nov98 HA98-20 NRWest nR 16 0 0 0 0 0
Hahei 3Nov98 HA98-21 ResWest R 22 6 4 2.825721765 0 78305.92748
Hahei 3Nov98 HA98-22 ResInner R 17 4 2 2.676296736 1 76825.75459
Hahei 3Nov98 HA98-23 ResOuter R 23 2 0 0.343826011 0 0
Hahei 3Nov98 HA98-24 NREast nR 11 1 0 0.301786677 0 7254.5177
Hahei 3Nov98 HA98-25 NRSouth nR 26 0 0 0 0 0
Hahei 3Nov98 HA98-26 NRSouth nR 24 0 0 0 0 0
Hahei 3Nov98 HA98-27 NRSouth nR 23 0 0 0 0 0
Hahei 3Nov98 HA98-28 NREast nR 26 2 1 0.831460514 0 18572.37652
Hahei 3Nov98 HA98-29 NREast nR 39 0 0 0 0 0
TAWH 3Nov98 LT98-10 18 nR 14 3 0 0.301447623 1 0
TAWH 3Nov98 LT98-11 17 R 14 5 2 1.912419209 0 46089.51943
TAWH 3Nov98 LT98-12 14 nR 10 5 1 1.72228118 0 40015.353
TAWH 3Nov98 LT98-13 13 nR 9 0 0 0 0 0
TAWH 3Nov98 LT98-31 13 nR 8 0 0 0 0 0
TAWH 3Nov98 LT98-32 14 nR 12 0 0 0 0 0
TAWH 3Nov98 LT98-33 15 R 9 12 5 5.892846211 0 159046.3251
TAWH 3Nov98 LT98-34 16 R 17 3 2 2.703355836 0 88199.49815
TAWH 3Nov98 LT98-35 17 R 19 3 1 1.308721073 0 36667.74363
TAWH 3Nov98 LT98-36 18 nR 21 5 1 2.015078226 0 54974.64044
TAWH 3Nov98 LT98-37 18 nR 23 1 0 0.044062991 1 0
TAWH 3Nov98 LT98-38 17 R 17 12 5 7.378557333 0 204765.2042
TAWH 3Nov98 LT98-39 15 R 8 9 6 7.016994254 0 217000.9019
TAWH 3Nov98 LT98-40 14 nR 12 0 0 0 0 0
TAWH 3Nov98 LT98-57 13 nR 11 2 0 0.535926565 0 9656.445012
TAWH 3Nov98 LT98-58 14 nR 13 1 0 0.395962233 0 10734.30449
TAWH 3Nov98 LT98-59 15 R 9 4 0 1.30979496 0 27781.48296
TAWH 3Nov98 LT98-60 16 R 8 5 1 2.16228875 0 55836.61342
TAWH 3Nov98 LT98-61 16 R 23 1 1 0.482530354 0 13932.99658
TAWH 3Nov98 LT98-62 18 nR 23 0 0 0 0 0
TAWH 3Nov98 LT98-63 17 R 23 2 1 0.78671317 0 21276.05164
TAWH 3Nov98 LT98-64 16 R 17 6 2 3.874540373 3 119785.2668
TAWH 3Nov98 LT98-65 15 R 16 4 1 1.346185175 0 31072.19364
TAWH 3Nov98 LT98-72 13 nR 19 0 0 0 0 0
CROP 1Nov97 CROP1 1 nR 5 0 0 0 0 0
CROP 1Nov97 CROP2 1 nR 7 0 0 0 0 0
CROP 1Nov97 CROP3 3 R 14 2 1 1.198616241 6 36495.87009
CROP 1Nov97 CROP4 4 R 14 8 6 10.87077307 4 368058.2066
CROP 1Nov97 CROP5 5 R 10 4 3 6.281258981 2 216506.5193
CROP 1Nov97 CROP6 6 R 15 10 8 8.310238524 5 262877.0629
CROP 1Nov97 CROP7 10 nR 11 8 0 1.659641336 2 10265.87824
CROP 1Nov97 CROP8 12 nR 10 0 0 0 0 0
CROP 1Nov97 CROP9 11 nR 23 4 0 0.528939951 3 6861.459566
CROP 1Nov97 CROP10 10 nR 9 5 0 0.108646573 2 0
CROP 1Nov97 CROP11 7 R 21 6 4 5.650241078 0 179781.6016
CROP 1Nov97 CROP12 6 R 17 11 8 11.27089661 0 373598.1298
CROP 1Nov97 CROP13 8 R 22 8 7 6.422917601 3 206154.8054
CROP 1Nov97 CROP15 2 nR 9 0 0 0 1 0
CROP 1Nov97 CROP16 4 R 6 6 5 3.578111562 1 108832.2222
CROP 1Nov97 CROP17 5 R 16 9 8 20.47211606 1 721376.1885
CROP 1Nov97 CROP18 7 R 22 7 5 10.39220184 4 354454.2755
CROP 1Nov97 CROP19 9 nR 20 4 0 0.918576928 4 9506.767028
CROP 1Nov97 CROP20 11 nR 14 4 1 3.605591454 0 113173.7975
CROP 1Nov97 CROP21 12 nR 15 1 1 0.389 0 10477.05
CROP 1Nov97 CROP30 1 nR 6 0 0 0 0 0
CROP 1Nov97 CROP31 2 nR 7 2 0 0.310062937 0 0
CROP 1Nov97 CROP32 3 R 15 0 0 0 0 0
CROP 1Nov97 CROP33 4 R 18 6 5 5.674791769 2 186304.5559
CROP 1Nov97 CROP34 5 R 17 12 10 24.06823605 4 837533.8814
CROP 1Nov97 CROP35 8 R 20 3 1 1.089414926 3 22707.28736
CROP 1Nov97 CROP36 9 nR 18 0 0 0 0 0
CROP 1Nov97 CROP45 1 nR 9 0 0 0 0 0
CROP 1Nov97 CROP46 2 nR 12 3 0 0.68878962 0 7122.491692
CROP 1Nov97 CROP47 3 R 15 3 2 1.815076606 3 55377.58058
CROP 1Nov97 CROP48 6 R 11 16 15 45.4727235 0 1611395.724
CROP 1Nov97 CROP49 7 R 20 0 0 0 0 0
CROP 1Nov97 CROP50 8 R 18 4 4 3.51268118 0 114207.5696
CROP 1Nov97 CROP51 12 nR 20 0 0 0 0 0
CROP 1Nov97 CROP52 11 nR 21 10 0 1.086696512 2 0
CROP 1Nov97 CROP53 10 nR 14 3 1 0.659816856 2 14112.7035
CROP 1Nov97 CROP54 9 nR 9 1 1 0.5 0 14578.5
CROP 1Nov97 CROP55 6 R 21 12 8 41.41843736 3 1467790.803
CROP 1Nov97 CROP56 5 R 20 8 8 16.70622517 0 586123.0202
CROP 1Nov97 CROP62 2 nR 7 0 0 0 0 0
CROP 1Nov97 CROP63 3 R 16 0 0 0 0 0
CROP 1Nov97 CROP64 4 R 16 0 0 0 0 0
CROP 1Nov97 CROP65 7 R 20 7 6 5.892463874 0 183846.609
CROP 1Nov97 CROP66 8 R 17 2 1 0.966650664 2 27924.74202
CROP 1Nov97 CROP67 9 nR 20 3 0 0.878444612 1 10892.6266
CROP 1Nov97 CROP68 12 nR 10 0 0 0 0 0
CROP 1Nov97 CROP71 10 nR 18 5 0 0.991201311 2 8918.675448
CROP 1Nov97 CROP72 11 nR 16 4 1 0.985658842 0 13754.44497
Hahei 1Nov97 HV1 ResOuter R 18 0 0 0 0 0
Hahei 1Nov97 HV2 ResInner R 15 4 4 2.686316173 1 83673.38261
Hahei 1Nov97 HV3 ResInner R 10 2 1 1.365389481 0 42658.14132
Hahei 1Nov97 HV4 NREast nR 19 0 0 0 2 0
Hahei 1Nov97 HV5 NRSouth nR 17 0 0 0 0 0
Hahei 1Nov97 HV6 NRSouth nR 12 0 0 0 0 0
Hahei 1Nov97 HV7 NRSouth nR 15 0 0 0 1 0
Hahei 1Nov97 HV8 NRSouth nR 24 1 1 0.463388066 2 13225.68905
Hahei 1Nov97 HV9 ResInner R 10 0 0 0 0 0
Hahei 1Nov97 HV10 ResInner R 14 0 0 0 2 0
Hahei 1Nov97 HV11 ResWest R 15 0 0 0 0 0
Hahei 1Nov97 HV12 ResOuter R 20 0 0 0 0 0
Hahei 1Nov97 HV13 NREast nR 11 1 0 0.112393237 0 0
Hahei 1Nov97 HV14 NREast nR 25 0 0 0 2 0
Hahei 1Nov97 HV15 NREast nR 26 0 0 0 1 0
Hahei 1Nov97 HV16 NREast nR 21 0 0 0 0 0
Hahei 1Nov97 HV18 ResWest R 19 0 0 0 0 0
Hahei 1Nov97 HV19 ResOuter R 22 3 3 2.246196686 5 71307.46754
Hahei 1Nov97 HV20 ResOuter R 22 2 0 0.553910972 0 8207.203685
Hahei 1Nov97 HV21 ResOuter R 21 1 1 1.113209372 1 37236.58629
Hahei 1Nov97 HV22 ResOuter R 37 2 2 2.639617066 1 89740.85059
Hahei 1Nov97 HV23 ResOuter R 32 0 0 0 0 0
Hahei 1Nov97 HV24 ResInner R 14 0 0 0 0 0
Hahei 1Nov97 HV25 ResWest R 12 2 2 1.430236362 0 45054.23358
Hahei 1Nov97 HV26 NRWest nR 14 0 0 0 0 0
Hahei 1Nov97 HV27 ResWest R 19 2 1 0.630413436 0 15782.59781
Hahei 1Nov97 HV28 NRWest nR 15 0 0 0 0 0
Hahei 1Nov97 HV29 NRWest nR 6 0 0 0 0 0
Hahei 1Nov97 HV30 NMerc nR 14 0 0 0 0 0
Hahei 1Nov97 HV31 NMerc nR 17 0 0 0 0 0
Hahei 1Nov97 HV32 NMerc nR 17 3 1 0.912002341 0 21822.47284
Hahei 1Nov97 HV33 NMerc nR 16 0 0 0 0 0
Hahei 1Nov97 HV34 NMerc nR 31 0 0 0 0 0
Hahei 1Nov97 HV35 NMerc nR 26 1 0 0 0 0
TAWH 1Nov97 CROP14 13 nR 15 0 0 0 0 0
TAWH 1Nov97 CROP22 13 nR 8 0 0 0 0 0
TAWH 1Nov97 CROP23 14 nR 15 1 0 0.305387142 3 7387.554892
TAWH 1Nov97 CROP24 14 nR 8 2 0 0.280052757 2 0
TAWH 1Nov97 CROP25 15 R 10 10 3 4.085310866 0 102023.8159
TAWH 1Nov97 CROP26 15 R 7 4 3 4.04030488 3 133703.2653
TAWH 1Nov97 CROP27 16 R 10 1 0 0.327569789 0 8207.203685
TAWH 1Nov97 CROP28 16 R 19 1 0 0.254211471 0 0
TAWH 1Nov97 CROP29 17 R 15 5 0 1.4400371 0 27869.77668
TAWH 1Nov97 CROP37 18 nR 19 2 0 0.713616251 1 18575.12046
TAWH 1Nov97 CROP38 18 nR 22 0 0 0 0 0
TAWH 1Nov97 CROP39 17 R 19 6 4 6.537284716 1 214033.2336
TAWH 1Nov97 CROP40 17 R 15 2 0 0.889480665 0 25073.31057
TAWH 1Nov97 CROP41 16 R 15 5 4 3.831314309 0 122084.5637
TAWH 1Nov97 CROP42 15 R 3 0 0 0 0 0
TAWH 1Nov97 CROP43 14 nR 7 4 0 0.320103916 0 0
TAWH 1Nov97 CROP44 13 nR 11 11 0 0.971124444 0 0
TAWH 1Nov97 CROP57 18 nR 24 4 0 0.848093264 3 7254.5177
TAWH 1Nov97 CROP58 18 nR 25 2 0 0.300975936 2 0
TAWH 1Nov97 CROP59 17 R 19 5 1 1.510421469 0 31226.96913
TAWH 1Nov97 CROP60 16 R 11 4 4 2.200654295 0 65728.17621
TAWH 1Nov97 CROP61 15 R 4 0 0 0 0 0
TAWH 1Nov97 CROP69 14 nR 17 1 1 0.359 0 9368.55
TAWH 1Nov97 CROP70 13 nR 9 0 0 0 0 0
CROP 4May99 LT99-9 1 nR 5 0 0 0 0 0
CROP 4May99 LT99-10 2 nR 13 0 0 0 0 0
CROP 4May99 LT99-11 3 R 13 0 0 0 0 0
CROP 4May99 LT99-12 4 R 16 8 8 17.3404742 0 609558.5217
CROP 4May99 LT99-15 11 nR 14 0 0 0 0 0
CROP 4May99 LT99-25 12 nR 15 0 0 0 0 0
CROP 4May99 LT99-26 11 nR 23 10 3 4.062040307 0 98420.68223
CROP 4May99 LT99-27 7 R 21 8 7 6.172675724 0 196908.368
CROP 4May99 LT99-28 6 R 20 14 14 25.18130491 0 875898.2166
CROP 4May99 LT99-29 12 nR 13 0 0 0 0 0
CROP 4May99 LT99-30 5 R 19 24 16 34.16889103 2 1162547.114
CROP 4May99 LT99-31 4 R 7 1 1 3.26094849 0 116595.5467
CROP 4May99 LT99-32 3 R 14 0 0 0 0 0
CROP 4May99 LT99-40 12 nR 10 0 0 0 0 0
CROP 4May99 LT99-41 9 nR 15 4 0 1.218880303 0 22847.19603
CROP 4May99 LT99-42 10 nR 7 17 1 3.712283237 4 47234.91468
CROP 4May99 LT99-43 11 nR 22 2 1 1.250543209 0 38414.57156
CROP 4May99 LT99-44 8 R 20 7 7 7.110950112 0 235474.1067
CROP 4May99 LT99-45 7 R 21 15 13 15.24509918 0 504858.9148
CROP 4May99 LT99-46 6 R 17 9 9 17.71863284 0 619634.9835
CROP 4May99 LT99-47 5 R 8 21 17 57.63954591 0 2041350.29
CROP 4May99 LT99-48 4 R 17 0 0 0 0 0
CROP 4May99 LT99-49 3 R 15 14 12 23.96347469 0 825869.949
CROP 4May99 LT99-50 1 nR 14 0 0 0 0 0
CROP 4May99 LT99-51 1 nR 6 0 0 0 0 0
CROP 4May99 LT99-52 2 nR 7 10 1 2.957641094 0 56255.3105
CROP 4May99 LT99-53 2 nR 14 0 0 0 0 0
CROP 4May99 LT99-54 3 R 18 0 0 0 0 0
CROP 4May99 LT99-55 4 R 14 15 12 27.08231618 1 938235.2103
CROP 4May99 LT99-56 5 R 19 27 25 54.1663021 0 1896239.362
CROP 4May99 LT99-57 6 R 27 1 1 1.000979396 0 33089.68868
CROP 4May99 LT99-58 7 R 20 22 20 40.73647528 0 1419489.762
CROP 4May99 LT99-59 8 R 16 20 10 13.31488767 0 400899.2689
CROP 4May99 LT99-60 10 nR 9 0 0 0 1 0
CROP 4May99 LT99-61 8 R 8 14 6 7.156971488 2 207975.599
CROP 4May99 LT99-62 6 R 8 19 14 30.18849376 0 1035934.731
CROP 4May99 LT99-63 1 nR 9 0 0 0 0 0
CROP 4May99 LT99-64 2 nR 8 4 1 1.060139206 0 16360.49795
CROP 4May99 LT99-65 5 R 21 14 12 27.53340934 0 962808.4751
CROP 4May99 LT99-66 9 nR 20 12 3 4.689283161 0 107970.7906
CROP 4May99 LT99-67 8 R 23 16 12 9.680796084 0 278343.7634
CROP 4May99 LT99-68 7 R 25 12 9 9.796494917 0 313986.2972
CROP 4May99 LT99-69 10 nR 14 4 0 1.132295467 0 18549.30307
CROP 4May99 LT99-70 12 nR 20 4 0 1.368079243 0 29348.72178
CROP 4May99 LT99-71 11 nR 11 14 0 2.83655059 0 23712.26195
CROP 4May99 LT99-72 9 nR 20 3 0 1.084688672 0 28389.74644
CROP 4May99 LT99-73 9 nR 20 1 0 0.291149109 0 6861.459566
CROP 4May99 LT99-74 10 nR 10 0 0 0 1 0
Hahei 4May99 H99-01 ResWest R 5 13 2 3.807407468 0 68652.30339
Hahei 4May99 H99-02 ResInner R 6 13 9 9.057214702 0 279320.5429
Hahei 4May99 H99-03 NREast nR 7 3 1 0.99951768 0 23159.95405
Hahei 4May99 H99-04 ResOuter R 24 16 6 12.8099049 0 390908.731
Hahei 4May99 H99-05 ResWest R 12 5 2 1.954209414 0 41953.4143
Hahei 4May99 H99-06 NRWest nR 16 12 0 0.733082796 0 0
Hahei 4May99 H99-07 NRWest nR 8 0 0 0 0 0
Hahei 4May99 H99-08 ResInner R 16 26 17 18.27460661 1 562212.2256
Hahei 4May99 H99-09 NREast nR 11 0 0 0 0 0
Hahei 4May99 H99-10 NRSouth nR 18 0 0 0 0 0
Hahei 4May99 H99-11 NREast nR 6 3 0 1.033065255 0 26482.26115
Hahei 4May99 H99-12 ResOuter R 16 2 2 1.72436374 0 55922.24018
Hahei 4May99 H99-13 ResOuter R 24 14 9 8.907364993 0 273499.403
Hahei 4May99 H99-14 ResInner R 8 15 8 8.599155373 0 248909.996
Hahei 4May99 H99-15 NRWest nR 12 3 0 0.048593587 0 0
Hahei 4May99 H99-16 NRWest nR 16 0 0 0 0 0
Hahei 4May99 H99-17 ResWest R 23 17 9 9.432249553 1 270636.3668
Hahei 4May99 H99-18 ResInner R 12 38 11 19.72677035 2 564213.183
Hahei 4May99 H99-19 ResOuter R 18 7 3 2.858161609 1 67653.83964
Hahei 4May99 H99-20 NREast nR 32 2 1 1.086440173 0 26371.76779
Hahei 4May99 H99-21 NRSouth nR 8 0 0 0 0 0
Hahei 4May99 H99-22 NRSouth nR 20 2 1 0.875169599 0 24544.5167
Hahei 4May99 H99-23 NRSouth nR 18 0 0 0 0 0
Hahei 4May99 H99-24 NREast nR 10 0 0 0 0 0
Hahei 4May99 H99-25 NRWest nR 16 0 0 0 0 0
Hahei 4May99 H99-26 ResWest R 19 18 7 15.6696591 1 498861.38
Hahei 4May99 H99-27 ResWest R 19 20 3 5.757869579 2 120058.4071
Hahei 4May99 H99-28 ResOuter R 23 17 2 4.434575507 3 51994.38801
Hahei 4May99 H99-29 ResInner R 17 1 1 0.532587221 0 15782.59781
Hahei 4May99 H99-30 NRSouth nR 9 0 0 0 0 0
TAWH 4May99 LT99-1 15 R 10 14 13 15.82157856 0 530056.3277
TAWH 4May99 LT99-2 16 R 10 7 2 2.992474676 0 68340.07635
TAWH 4May99 LT99-3 17 R 16 0 0 0 0 0
TAWH 4May99 LT99-4 18 nR 18 5 1 1.835594568 0 44309.22525
TAWH 4May99 LT99-5 16 R 8 27 15 13.84416219 0 367059.9212
TAWH 4May99 LT99-6 15 R 10 9 3 3.664102095 0 89562.34362
TAWH 4May99 LT99-7 14 nR 11 3 1 1.046217962 0 17147.81803
TAWH 4May99 LT99-8 13 nR 11 0 0 0 0 0
TAWH 4May99 LT99-16 13 nR 17 8 0 2.248061497 0 31765.73558
TAWH 4May99 LT99-17 14 nR 9 1 0 0.287657554 0 6732.446613
TAWH 4May99 LT99-18 15 R 16 4 4 3.637559148 0 118821.8105
TAWH 4May99 LT99-19 16 R 18 0 0 0 0 0
TAWH 4May99 LT99-20 17 R 20 0 0 0 0 0
TAWH 4May99 LT99-21 18 nR 20 5 0 1.446994718 0 26096.09799
TAWH 4May99 LT99-22 18 nR 25 0 0 0 0 0
TAWH 4May99 LT99-23 17 R 17 8 7 6.551937582 0 210922.0937
TAWH 4May99 LT99-24 14 nR 11 10 0 3.045263138 0 60086.22227
TAWH 4May99 LT99-33 18 nR 7 10 0 2.098761921 0 13986.96431
TAWH 4May99 LT99-34 16 R 18 3 3 1.853338503 0 56791.35767
TAWH 4May99 LT99-35 17 R 15 23 3 7.481210397 0 133864.9042
TAWH 4May99 LT99-36 15 R 5 15 8 7.645215622 0 228363.555
TAWH 4May99 LT99-37 14 nR 13 0 0 0 0 0
TAWH 4May99 LT99-38 13 nR 9 0 0 0 0 0
TAWH 4May99 LT99-39 13 nR 8 3 0 0.420190009 0 0
CROP 2May98 V98-1 12 nR 11 7 0 1.373735007 0 7792.767661
CROP 2May98 V98-2 11 nR 21 0 0 0 0 0
CROP 2May98 V98-3 10 nR 19 0 0 0 0 0
CROP 2May98 V98-6 6 R 12 20 18 22.93768994 0 769617.6432
CROP 2May98 V98-7 9 nR 20 4 1 1.405968571 0 33125.7566
CROP 2May98 V98-8 11 nR 22 26 4 8.536257267 1 179057.6436
CROP 2May98 V98-9 5 R 11 19 17 40.83255769 2 1428252.097
CROP 2May98 V98-10 4 R 18.5 16 14 31.07327473 6 1083551.418
CROP 2May98 V98-11 3 R 15 9 5 6.980678185 0 215579.9765
CROP 2May98 V98-12 2 nR 8.5 7 1 1.289588042 0 21155.73477
CROP 2May98 V98-13 1 nR 5 6 0 1.324693773 0 6861.459566
CROP 2May98 V98-14 6 R 18 26 23 33.84807036 0 1149377.2
CROP 2May98 V98-15 8 R 16 11 3 4.54389419 3 117476.8132
CROP 2May98 V98-24 7 R 17.5 6 4 4.383818547 1 132500.8194
CROP 2May98 V98-25 5 R 21 18 16 35.82764606 3 1253694.522
CROP 2May98 V98-26 4 R 7.5 20 14 27.19171856 1 919574.2928
CROP 2May98 V98-27 3 R 14 11 6 5.311071876 1 145908.3066
CROP 2May98 V98-28 2 nR 13 0 0 0 0 0
CROP 2May98 V98-29 1 nR 7 0 0 0 0 0
CROP 2May98 V98-30 1 nR 7 0 0 0 0 0
CROP 2May98 V98-31 4 R 15 6 6 14.22653852 0 502291.5984
CROP 2May98 V98-32 5 R 19 9 9 12.32496505 1 420338.9587
CROP 2May98 V98-33 7 R 19 18 13 13.18888623 7 411213.1495
CROP 2May98 V98-34 8 R 22 10 10 13.21703792 0 449404.5511
CROP 2May98 V98-35 10 nR 13 19 2 5.982340485 0 125806.2173
CROP 2May98 V98-42 1 nR 5 0 0 0 0 0
CROP 2May98 V98-43 2 nR 9 0 0 0 0 0
CROP 2May98 V98-44 2 nR 16 0 0 0 0 0
CROP 2May98 V98-45 3 R 15 12 6 5.393034824 0 139292.8723
CROP 2May98 V98-46 4 R 17 0 0 0 0 0
CROP 2May98 V98-47 5 R 23 6 6 8.106738783 0 276164.998
CROP 2May98 V98-48 3 R 14 6 2 3.515157583 0 106506.0727
CROP 2May98 V98-49 6 R 17 9 9 20.82577891 0 734444.0306
CROP 2May98 V98-50 7 R 19 12 12 16.26250648 0 554141.6146
CROP 2May98 V98-51 8 R 19 14 5 6.872995981 1 179363.8194
CROP 2May98 V98-52 12 nR 18 4 0 1.252666048 0 20869.00594
CROP 2May98 V98-60 9 nR 18 2 0 0.717552288 1 18720.55704
CROP 2May98 V98-61 6 R 10 12 10 12.26824542 1 401175.2837
CROP 2May98 V98-62 7 R 18 8 4 6.091766194 2 187092.779
CROP 2May98 V98-63 8 R 15 11 2 4.577394833 3 113447.7801
CROP 2May98 V98-64 10 nR 20 7 1 2.53223999 2 59812.41522
CROP 2May98 V98-65 11 nR 13 5 1 1.207827256 0 12878.90117
CROP 2May98 V98-66 12 nR 10 0 0 0 0 0
CROP 2May98 V98-67 12 nR 18 17 2 4.846195829 0 66349.92098
CROP 2May98 V98-68 9 nR 20 3 1 1.241213778 0 34173.34909
CROP 2May98 V98-70 11 nR 17 21 3 5.60537583 0 77208.66799
CROP 2May98 V98-71 10 nR 9 5 1 1.383720859 1 21714.35274
CROP 2May98 V98-72 9 nR 21 2 0 0.136751614 0 0
Hahei 2May98 H98-1 NMerc nR 12 5 0 0.791698891 0 0
Hahei 2May98 H98-2 NMerc nR 12 6 1 2.477820604 0 61699.0615
Hahei 2May98 H98-3 NMerc nR 15 6 0 1.311833734 2 15997.91154
Hahei 2May98 H98-4 NMerc nR 24 4 0 0.932623105 4 9656.445012
Hahei 2May98 H98-5 Outer nR 26 0 0 0 0 0
Hahei 2May98 H98-6 ResOuter R 18 11 6 8.546886889 1 262961.7048
Hahei 2May98 H98-7 ResOuter R 17 7 2 3.457124157 4 97927.70097
Hahei 2May98 H98-8 ResInner R 13 7 4 4.13252413 3 128013.1471
Hahei 2May98 H98-9 ResWest R 13 15 7 6.892996634 0 186950.5401
Hahei 2May98 H98-10 ResInner R 10 7 5 4.125952595 0 125178.4484
Hahei 2May98 H98-11 NREast nR 11 16 1 2.974908592 0 26109.90348
Hahei 2May98 H98-12 NRSouth nR 18 0 0 0 0 0
Hahei 2May98 H98-13 NRSouth nR 15 1 0 0.31267054 0 7656.676466
Hahei 2May98 H98-14 NRSouth nR 18 6 4 3.727905643 0 104528.5427
Hahei 2May98 H98-15 NRSouth nR 17 0 0 0 0 0
Hahei 2May98 H98-16 NREast nR 28 1 0 0.287657554 0 6732.446613
